Country,Total,PerCapita,Population,Total-Z,PerCapita-Z,Combined-Z_Total_PerCapita,MDI,Year
LTU,136,4.854467698693185e-05,2801543,-0.3658733759318849,-0.2991055151650819,-0.6649788910969667,18,2018
LUX,27,4.441154700222058e-05,607950,-0.38880461137345224,-0.41991052631238046,-0.8087151376858327,16,2018
LVA,66,3.424703737182008e-05,1927174,-0.3805998574081208,-0.7170034567911047,-1.0976033141992254,12,2018
MKD,89,4.286642484865503e-05,2076217,-0.3757611563516433,-0.46507206240630605,-0.8408332187579494,15,2018
MNE,26,4.178539343358613e-05,622227,-0.3890149896802556,-0.4966689424054965,-0.8856839320857521,15,2018
NLD,981,5.6930211569147515e-05,17231624,-0.18810370668303733,-0.054009280004844507,-0.24211298668788184,23,2018
NOR,264,4.9699581092773305e-05,5311916,-0.33894495266105357,-0.2653494504160114,-0.604294403077065,18,2018
NZL,205,4.183161245561768e-05,4900600,-0.3513572727624524,-0.4953180317173758,-0.8466753044798282,15,2018
POL,1189,3.131027854034589e-05,37974750,-0.14434501886793638,-0.8028403853865046,-0.947185404254441,14,2018
PRT,464,4.511941182957076e-05,10283822,-0.2968692913003796,-0.39922072979614703,-0.6960900210965266,17,2018
ROU,1111,5.705051409650934e-05,19473970,-0.16075452679859925,-0.05049302278265396,-0.21124754958125322,23,2018
SVK,483,8.867639193937106e-05,5446771,-0.29287210347111553,0.8738825810533112,0.5810104775821956,33,2018
SVN,345,0.0001663537287826668,2073894,-0.3219043098099806,3.144271264196152,2.822366954386171,60,2018
TUR,1160,1.4087912704491821e-05,82340090,-0.15044598976523413,-1.3062235609651325,-1.4566695507303666,8,2018
USA,27551,8.429553242030929e-05,326838199,5.401647905082501,0.7458368179167384,6.1474847229992395,100,2018
ALB,192,6.726949948339126e-05,2854191,-0.3487247012806341,0.4720359557803537,0.12331125449971958,26,2019
AUS,1495,5.893775246893005e-05,25365745,-0.05791901832258306,0.20348249985555397,0.1455634815329709,27,2019
